,date,Time,District,DTP_V,POG,RAN,K_TS,K_UCH,n_p,street,house,dor,factor,s_pog,s_pch,osv,COORD_W,COORD_L,OBJ_DTP,change_org_motion
0,28.02.2020,04:00,Курортный район,Наезд на препятствие,0,1,1,1,п Репино,ул Привокзальная,8,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.176275,29.852568,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
1,27.02.2020,13:50,Курортный район,Столкновение,0,1,2,3,г Зеленогорск,ш Приморское,566,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.192508,29.679855,Остановка общественного транспорта,Движение частично перекрыто
2,25.02.2020,18:00,Курортный район,Съезд с дороги,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.139798,29.988781,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
3,24.02.2020,14:03,Курортный район,Наезд на стоящее ТС,0,2,6,3,г Санкт-Петербург,,,Западный скоростной диаметр,"Наличие на проезжей части неисправного ТС, мешающего движению",Ясно,Сухое,Светлое время суток,60.139343,30.041959,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
4,17.02.2020,17:40,Курортный район,Столкновение,0,2,2,4,г Сестрорецк,ш Приморское,315,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.122377,29.977001,АЗС,Движение частично перекрыто
5,12.02.2020,12:42,Курортный район,Столкновение,0,1,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.194865,29.752958,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
6,12.02.2020,11:00,Курортный район,Съезд с дороги,0,2,1,2,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.220229,29.487133,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
7,02.02.2020,23:50,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.117887,29.969137,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
8,02.02.2020,15:00,Курортный район,Отбрасывание предмета,0,1,1,2,г Зеленогорск,ул Красных Курсантов,16,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,60.204015,29.7001,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
9,31.01.2020,23:15,Курортный район,Столкновение,0,3,2,3,г Сестрорецк,,,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.087856,29.965743,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
10,26.01.2020,18:00,Курортный район,Столкновение,0,1,3,2,г Санкт-Петербург,,,А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",60.050553,30.083055,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
11,25.01.2020,20:10,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.154738,29.9739,"Эстакада, путепровод",Движение частично перекрыто
12,24.01.2020,08:40,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Туман,Мокрое,"В темное время суток, освещение включено",60.183707,29.810157,Нерегулируемый пешеходный переход,Режим движения не изменялся
13,22.01.2020,14:50,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,ш Приморское,270,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.085623,29.956734,Остановка общественного транспорта,Режим движения не изменялся
14,15.01.2020,18:25,Курортный район,Наезд на пешехода,0,1,1,2,п Песочный,ул Пограничная,59,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.127384,30.13096,Нерегулируемый пешеходный переход,Режим движения не изменялся
15,13.01.2020,18:35,Курортный район,Столкновение,0,1,2,2,п Песочный,ул Советская,21,,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Пасмурно,Мокрое,"В темное время суток, освещение включено",60.1218,30.154574,Остановка общественного транспорта,Движение частично перекрыто
16,11.01.2020,07:30,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,60.178276,29.447436,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
17,05.01.2020,02:37,Курортный район,Столкновение,1,2,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.160815,29.928929,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
18,02.01.2020,22:00,Курортный район,Наезд на пешехода,2,1,1,3,г Сестрорецк,ш Приморское,352,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.109366,29.972377,Кладбище,Режим движения не изменялся
19,01.01.2020,23:45,Курортный район,Столкновение,0,1,2,2,п Песочный,ул Ленинградская,77,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.119426,30.174894,Многоквартирные жилые дома,Движение частично перекрыто
20,01.01.2020,06:32,Курортный район,Наезд на препятствие,0,4,1,4,п Смолячково,ш Приморское,678,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.180522,29.489493,Административные здания,Режим движения не изменялся
21,25.12.2019,08:50,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,ш Дубковское,2,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.092915,29.957399,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
22,25.12.2019,10:20,Курортный район,Съезд с дороги,2,0,1,2,п Комарово,ш Приморское,6.152,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.174584,29.801702,Остановка общественного транспорта,Движение частично перекрыто
23,21.12.2019,14:43,Курортный район,Наезд на стоящее ТС,0,1,3,3,п Белоостров,ш Новое,2,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.144581,30.007696,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
24,19.12.2019,08:45,Курортный район,Столкновение,0,1,2,2,п Репино,ул Луговая,4,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.165759,29.868206,Регулируемый перекрёсток,Режим движения не изменялся
25,14.12.2019,22:55,Курортный район,Наезд на препятствие,0,1,1,1,п Песочный,ш Белоостровское,1,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.130497,30.114902,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
26,09.12.2019,17:45,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.181776,29.821937,Жилые дома индивидуальной застройки,Движение частично перекрыто
27,04.12.2019,16:27,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Пасмурно,Мокрое,"В темное время суток, освещение включено",60.115524,29.968117,Остановка общественного транспорта,Движение частично перекрыто
28,02.12.2019,10:35,Курортный район,Наезд на препятствие,0,1,1,1,п Репино,ш Приморское,430,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,Светлое время суток,60.162626,29.849315,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
29,02.12.2019,06:30,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.158379,29.973986,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
30,27.11.2019,14:25,Курортный район,Наезд на препятствие,0,3,3,4,п Ушково,ш Приморское,621,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,Светлое время суток,60.197414,29.604764,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
31,26.11.2019,21:15,Курортный район,Наезд на стоящее ТС,0,2,2,3,г Санкт-Петербург,,,,Режим движения нарушен вследствие ранее произошедшего ДТП,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.149852,29.9814,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
32,23.11.2019,02:55,Курортный район,Съезд с дороги,1,0,1,1,п Репино,ш Приморское,426,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.163985,29.857525,Зоны отдыха,Движение частично перекрыто
33,13.11.2019,17:25,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.088323,29.965726,Жилые дома индивидуальной застройки,Движение частично перекрыто
34,07.11.2019,09:55,Курортный район,Столкновение,0,2,2,4,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.136868,29.98877,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
35,03.11.2019,22:10,Курортный район,Наезд на препятствие,0,2,1,2,г Сестрорецк,ул Сдт Разлив 14-я дорожка,7 21,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение не включено",60.050039,29.995379,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
36,02.11.2019,06:20,Курортный район,Столкновение,0,3,2,3,г Сестрорецк,ш Приморское,250,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.057446,29.976454,Регулируемый ж/д переезд с дежурным,Движение частично перекрыто
37,20.10.2019,13:50,Курортный район,Столкновение,0,1,2,2,г Зеленогорск,ш Приморское,566,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.192651,29.68096,Остановка общественного транспорта,Движение частично перекрыто
38,20.10.2019,20:30,Курортный район,Наезд на пешехода,0,1,1,2,г Зеленогорск,ш Приморское,570,,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",60.193703,29.666069,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
39,18.10.2019,18:40,Курортный район,Наезд на пешехода,0,1,1,2,г Зеленогорск,ул Мира,17,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.197692,29.686013,Жилые дома индивидуальной застройки,Режим движения не изменялся
40,15.10.2019,08:30,Курортный район,Наезд на препятствие,2,6,1,9,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,60.16391,29.973686,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
41,13.10.2019,12:40,Курортный район,Наезд на стоящее ТС,0,1,2,1,п Комарово,ш Приморское,496,,Сведения отсутствуют,Дождь,Мокрое,Светлое время суток,60.181648,29.767005,Зоны отдыха,Режим движения не изменялся
42,12.10.2019,09:30,Курортный район,Столкновение,0,1,3,3,г Санкт-Петербург,,,А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга,Сведения отсутствуют,Дождь,Мокрое,Светлое время суток,60.038875,29.978642,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
43,07.10.2019,09:10,Курортный район,Наезд на велосипедиста,0,1,2,2,г Зеленогорск,ул Комсомольская,10,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.198145,29.711977,Многоквартирные жилые дома,Режим движения не изменялся
44,06.10.2019,21:15,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,,,,Сужение проезжей части припаркованным транспортом,Пасмурно,Мокрое,Сумерки,60.09598,29.978342,Многоквартирные жилые дома,Движение частично перекрыто
45,03.10.2019,20:20,Курортный район,Столкновение,0,1,3,4,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",60.200859,29.72276,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
46,01.10.2019,21:10,Курортный район,Столкновение,0,1,2,2,г Зеленогорск,ул Широкая,4,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.192481,29.67978,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
47,30.09.2019,09:30,Курортный район,Столкновение,0,1,2,2,п Молодежное,ш Приморское,651,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.195905,29.532881,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
48,20.09.2019,11:30,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,,,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.145692,29.947979,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
49,15.09.2019,21:17,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,,Режим движения нарушен вследствие ранее произошедшего ДТП,Дождь,Мокрое,"В темное время суток, освещение включено",60.149153,29.992676,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
50,12.09.2019,21:30,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,пл Свободы,2,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.094477,29.971025,Иная образовательная организация,Режим движения не изменялся
51,12.09.2019,08:05,Курортный район,Столкновение,0,3,2,5,г Зеленогорск,ш Приморское,516,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.189569,29.726408,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Движение частично перекрыто
52,11.09.2019,01:00,Курортный район,Съезд с дороги,0,1,1,1,г Сестрорецк,пр-кт Советский,35,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.068235,29.975284,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
53,11.09.2019,16:15,Курортный район,Наезд на пешехода,0,1,1,2,п Песочный,ул Речная,2,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.121858,30.13081,Регулируемый ж/д переезд с дежурным,Режим движения не изменялся
54,10.09.2019,18:01,Курортный район,Наезд на велосипедиста,0,1,2,2,г Сестрорецк,ш Приморское,266,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.083943,29.956766,АЗС,Режим движения не изменялся
55,08.09.2019,19:40,Курортный район,Столкновение,0,3,2,5,г Санкт-Петербург,,,,Сведения отсутствуют,Ясно,Сухое,Сумерки,60.142477,29.957753,Остановка общественного транспорта,Режим движения не изменялся
56,08.09.2019,15:50,Курортный район,Наезд на велосипедиста,0,1,2,2,г Сестрорецк,ш Приморское,270,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.085425,29.955951,Остановка общественного транспорта,Режим движения не изменялся
57,08.09.2019,18:10,Курортный район,Столкновение,0,1,2,2,п Серово,ш Приморское,640а,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.198193,29.569316,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
58,07.09.2019,07:00,Курортный район,Наезд на стоящее ТС,0,1,2,1,г Сестрорецк,,,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.078966,29.963429,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
59,05.09.2019,23:49,Курортный район,Столкновение,0,3,2,4,г Сестрорецк,ш Приморское,261,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.075728,29.964845,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
60,04.09.2019,10:10,Курортный район,Падение пассажира,0,1,1,2,п Песочный,ул Ленинградская,61,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.120399,30.173296,Остановка общественного транспорта,Режим движения не изменялся
61,01.09.2019,16:40,Курортный район,Наезд на велосипедиста,0,1,2,2,п Репино,,,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.167806,29.823589,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
62,01.09.2019,14:40,Курортный район,Столкновение,0,4,2,5,п Молодежное,ш Приморское,656А,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.191687,29.516476,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
63,30.08.2019,18:35,Курортный район,Наезд на пешехода,0,1,2,2,г Сестрорецк,,,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.094167,29.973224,Административные здания,Режим движения не изменялся
64,27.08.2019,18:55,Курортный район,Столкновение,0,1,2,3,п Комарово,,,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.184769,29.805951,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
65,27.08.2019,13:25,Курортный район,Съезд с дороги,0,2,1,2,г Сестрорецк,ш Приморское,266,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.083558,29.956863,Остановка общественного транспорта,Режим движения не изменялся
66,24.08.2019,12:30,Курортный район,Наезд на велосипедиста,0,1,2,2,п Солнечное,ш Приморское,364,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.148672,29.932981,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
67,21.08.2019,15:00,Курортный район,Столкновение,0,1,2,3,г Зеленогорск,ш Приморское,591,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.193948,29.668086,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
68,20.08.2019,10:40,Курортный район,Столкновение,0,4,4,6,г Санкт-Петербург,,,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.181865,29.822091,Нерегулируемый пешеходный переход,Движение частично перекрыто
69,19.08.2019,20:40,Курортный район,Наезд на препятствие,0,3,1,3,г Санкт-Петербург,,,,Сведения отсутствуют,Ясно,Мокрое,"В темное время суток, освещение включено",60.180554,29.454335,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
70,18.08.2019,15:30,Курортный район,Столкновение,0,2,2,3,г Санкт-Петербург,,,Пухтоловская дорога,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.228263,29.678407,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
71,17.08.2019,18:10,Курортный район,Столкновение,0,1,3,4,г Сестрорецк,ш Приморское,247а,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.061285,29.972613,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
72,16.08.2019,10:25,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,ул Воскова,4,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.093632,29.965639,Нерегулируемый пешеходный переход,Движение частично перекрыто
73,16.08.2019,18:25,Курортный район,Столкновение,0,1,2,2,г Сестрорецк,пр-кт Красных Командиров,21,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.051956,29.977849,Остановка общественного транспорта,Движение частично перекрыто
74,15.08.2019,11:18,Курортный район,Столкновение,0,2,2,3,г Зеленогорск,ш Приморское,ул. Широкая,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.192444,29.679716,Жилые дома индивидуальной застройки,Движение частично перекрыто
75,13.08.2019,18:45,Курортный район,Наезд на пешехода,0,1,1,2,г Зеленогорск,ш Приморское,536,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.192375,29.701034,Зоны отдыха,Движение частично перекрыто
76,13.08.2019,05:20,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.19166,29.770627,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
77,12.08.2019,23:00,Курортный район,Опрокидывание,0,1,1,1,г Зеленогорск,ул Красноармейская,8,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.194332,29.712664,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
78,09.08.2019,21:55,Курортный район,Опрокидывание,0,2,2,2,п Репино,ш Приморское,444,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.166408,29.833932,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
79,06.08.2019,17:15,Курортный район,Столкновение,0,2,2,3,г Сестрорецк,ш Приморское,270,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.085366,29.956155,Остановка общественного транспорта,Движение частично перекрыто
80,02.08.2019,11:17,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,ул Володарского,30,,Сведения отсутствуют,Пасмурно,Сухое,Светлое время суток,60.102425,29.973997,Многоквартирные жилые дома,Режим движения не изменялся
81,31.07.2019,10:15,Курортный район,Наезд на пешехода,0,1,1,2,г Зеленогорск,пр-кт Ленина,25,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.201312,29.706184,Нерегулируемый пешеходный переход,Режим движения не изменялся
82,30.07.2019,09:10,Курортный район,Съезд с дороги,0,1,1,1,г Сестрорецк,дор Коннолахтинская,0,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.039217,30.134876,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
83,28.07.2019,13:40,Курортный район,Столкновение,0,2,2,4,г Санкт-Петербург,,,Пухтоловская дорога,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.228263,29.678321,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
84,28.07.2019,16:40,Курортный район,Столкновение,0,1,2,3,п Солнечное,ш Приморское,366,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.148982,29.932508,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
85,28.07.2019,22:15,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,ш Приморское,Таможенная дорога,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение не включено",60.142482,29.957678,Остановка общественного транспорта,Движение частично перекрыто
86,27.07.2019,22:35,Курортный район,Падение пассажира,0,1,1,2,п Репино,ш Приморское,394,,Сведения отсутствуют,Пасмурно,Мокрое,Сумерки,60.159041,29.886718,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
87,27.07.2019,11:00,Курортный район,Столкновение,0,1,2,3,г Санкт-Петербург,,,Западный скоростной диаметр,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.138011,30.049357,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
88,27.07.2019,16:15,Курортный район,Опрокидывание,0,1,1,1,г Зеленогорск,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.187185,29.7469,Остановка общественного транспорта,Режим движения не изменялся
89,26.07.2019,16:30,Курортный район,Столкновение,0,3,3,4,п Ушково,ул Песочная,3а,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.228775,29.625342,Нерегулируемый пешеходный переход,Движение частично перекрыто
90,26.07.2019,14:20,Курортный район,Наезд на велосипедиста,0,1,2,2,г Сестрорецк,,,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.093338,29.957024,"Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов",Режим движения не изменялся
91,24.07.2019,08:55,Курортный район,Наезд на препятствие,0,1,1,2,г Зеленогорск,ул Красных Курсантов,16,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.204191,29.699392,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Движение частично перекрыто
92,24.07.2019,20:50,Курортный район,Столкновение,0,2,2,2,г Зеленогорск,ул Пухтолова гора,2а,Пухтоловская дорога,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.228347,29.677348,Нерегулируемый перекрёсток,Движение частично перекрыто
93,22.07.2019,12:20,Курортный район,Столкновение,0,1,3,4,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.180218,29.829855,Нерегулируемый перекрёсток,Режим движения не изменялся
94,22.07.2019,11:10,Курортный район,Наезд на препятствие,0,1,1,2,г Зеленогорск,ш Рощинское,дорога на СНТ Ручей,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.228338,29.673922,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
95,22.07.2019,17:25,Курортный район,Столкновение,0,2,2,3,г Зеленогорск,ш Приморское,535,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.191356,29.708362,Нерегулируемый перекрёсток,Движение частично перекрыто
96,22.07.2019,11:10,Курортный район,Наезд на велосипедиста,0,1,2,2,п Репино,ш Приморское,428,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.16059,29.882222,Жилые дома индивидуальной застройки,Движение частично перекрыто
97,22.07.2019,09:45,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,ш Приморское,286,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.09284,29.975874,Автостоянка (отделенная от проезжей части),Режим движения не изменялся
