,date,Time,District,DTP_V,POG,RAN,K_TS,K_UCH,n_p,street,house,dor,factor,s_pog,s_pch,osv,COORD_W,COORD_L,OBJ_DTP,change_org_motion
818,18.01.2018,17:30,Курортный район,Наезд на стоящее ТС,0,3,2,3,п Смолячково,ш Приморское,674,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.1747,29.5044,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
819,18.01.2018,09:45,Курортный район,Столкновение,0,1,2,2,п Ушково,ш Приморское,609,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,Светлое время суток,60.1942,29.6269,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
820,17.01.2018,14:30,Курортный район,Столкновение,0,1,2,2,г Сестрорецк,ул Большая Горская,43,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,Светлое время суток,60.0392,29.9775,Нерегулируемый пешеходный переход,Режим движения не изменялся
821,01.01.2018,05:14,Курортный район,Наезд на пешехода,0,1,1,2,п Смолячково,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Снегопад,Заснеженное,"В темное время суток, освещение отсутствует",60.176721,29.443892,Жилые дома индивидуальной застройки,Режим движения не изменялся
822,28.02.2020,04:00,Курортный район,Наезд на препятствие,0,1,1,1,п Репино,ул Привокзальная,8,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.176275,29.852568,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
823,27.02.2020,13:50,Курортный район,Столкновение,0,1,2,3,г Зеленогорск,ш Приморское,566,,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.192508,29.679855,Остановка общественного транспорта,Движение частично перекрыто
824,25.02.2020,18:00,Курортный район,Съезд с дороги,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.139798,29.988781,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
825,24.02.2020,14:03,Курортный район,Наезд на стоящее ТС,0,2,6,3,г Санкт-Петербург,,,Западный скоростной диаметр,"Наличие на проезжей части неисправного ТС, мешающего движению",Ясно,Сухое,Светлое время суток,60.139343,30.041959,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
826,17.02.2020,17:40,Курортный район,Столкновение,0,2,2,4,г Сестрорецк,ш Приморское,315,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.122377,29.977001,АЗС,Движение частично перекрыто
827,12.02.2020,12:42,Курортный район,Столкновение,0,1,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.194865,29.752958,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
828,12.02.2020,11:00,Курортный район,Съезд с дороги,0,2,1,2,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.220229,29.487133,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
829,02.02.2020,23:50,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.117887,29.969137,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
830,02.02.2020,15:00,Курортный район,Отбрасывание предмета,0,1,1,2,г Зеленогорск,ул Красных Курсантов,16,,Сведения отсутствуют,Пасмурно,Заснеженное,Светлое время суток,60.204015,29.7001,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
831,31.01.2020,23:15,Курортный район,Столкновение,0,3,2,3,г Сестрорецк,,,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.087856,29.965743,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
832,26.01.2020,18:00,Курортный район,Столкновение,0,1,3,2,г Санкт-Петербург,,,А-118 Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга,Сведения отсутствуют,Дождь,Мокрое,"В темное время суток, освещение включено",60.050553,30.083055,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
833,25.01.2020,20:10,Курортный район,Наезд на препятствие,0,1,1,1,г Санкт-Петербург,,,,Сведения отсутствуют,Ясно,Сухое,"В темное время суток, освещение включено",60.154738,29.9739,"Эстакада, путепровод",Движение частично перекрыто
834,24.01.2020,08:40,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Туман,Мокрое,"В темное время суток, освещение включено",60.183707,29.810157,Нерегулируемый пешеходный переход,Режим движения не изменялся
835,22.01.2020,14:50,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,ш Приморское,270,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.085623,29.956734,Остановка общественного транспорта,Режим движения не изменялся
836,15.01.2020,18:25,Курортный район,Наезд на пешехода,0,1,1,2,п Песочный,ул Пограничная,59,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.127384,30.13096,Нерегулируемый пешеходный переход,Режим движения не изменялся
837,13.01.2020,18:35,Курортный район,Столкновение,0,1,2,2,п Песочный,ул Советская,21,,"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Пасмурно,Мокрое,"В темное время суток, освещение включено",60.1218,30.154574,Остановка общественного транспорта,Движение частично перекрыто
838,11.01.2020,07:30,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,,,А-123 Зеленогорск - Приморск - Выборг,Сведения отсутствуют,Ясно,Мокрое,Светлое время суток,60.178276,29.447436,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
839,05.01.2020,02:37,Курортный район,Столкновение,1,2,2,3,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.160815,29.928929,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
840,02.01.2020,22:00,Курортный район,Наезд на пешехода,2,1,1,3,г Сестрорецк,ш Приморское,352,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.109366,29.972377,Кладбище,Режим движения не изменялся
841,01.01.2020,23:45,Курортный район,Столкновение,0,1,2,2,п Песочный,ул Ленинградская,77,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.119426,30.174894,Многоквартирные жилые дома,Движение частично перекрыто
842,01.01.2020,06:32,Курортный район,Наезд на препятствие,0,4,1,4,п Смолячково,ш Приморское,678,,Сведения отсутствуют,Ясно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.180522,29.489493,Административные здания,Режим движения не изменялся
843,25.12.2019,08:50,Курортный район,Наезд на пешехода,0,1,1,2,г Сестрорецк,ш Дубковское,2,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.092915,29.957399,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),Режим движения не изменялся
844,25.12.2019,10:20,Курортный район,Съезд с дороги,2,0,1,2,п Комарово,ш Приморское,6.152,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.174584,29.801702,Остановка общественного транспорта,Движение частично перекрыто
845,21.12.2019,14:43,Курортный район,Наезд на стоящее ТС,0,1,3,3,п Белоостров,ш Новое,2,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.144581,30.007696,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
846,19.12.2019,08:45,Курортный район,Столкновение,0,1,2,2,п Репино,ул Луговая,4,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.165759,29.868206,Регулируемый перекрёсток,Режим движения не изменялся
847,14.12.2019,22:55,Курортный район,Наезд на препятствие,0,1,1,1,п Песочный,ш Белоостровское,1,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.130497,30.114902,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
848,09.12.2019,17:45,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.181776,29.821937,Жилые дома индивидуальной застройки,Движение частично перекрыто
849,04.12.2019,16:27,Курортный район,Наезд на пешехода,0,1,1,2,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),"Участок, оборудованный искусственными неровностями и обозначенный соответствующими дорожными знаками и разметкой",Пасмурно,Мокрое,"В темное время суток, освещение включено",60.115524,29.968117,Остановка общественного транспорта,Движение частично перекрыто
850,02.12.2019,10:35,Курортный район,Наезд на препятствие,0,1,1,1,п Репино,ш Приморское,430,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,Светлое время суток,60.162626,29.849315,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
851,02.12.2019,06:30,Курортный район,Столкновение,0,1,2,2,г Санкт-Петербург,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.158379,29.973986,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
852,27.11.2019,14:25,Курортный район,Наезд на препятствие,0,3,3,4,п Ушково,ш Приморское,621,,Сведения отсутствуют,Пасмурно,Обработанное противогололедными материалами,Светлое время суток,60.197414,29.604764,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
853,26.11.2019,21:15,Курортный район,Наезд на стоящее ТС,0,2,2,3,г Санкт-Петербург,,,,Режим движения нарушен вследствие ранее произошедшего ДТП,Пасмурно,Обработанное противогололедными материалами,"В темное время суток, освещение включено",60.149852,29.9814,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Движение частично перекрыто
854,23.11.2019,02:55,Курортный район,Съезд с дороги,1,0,1,1,п Репино,ш Приморское,426,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.163985,29.857525,Зоны отдыха,Движение частично перекрыто
855,13.11.2019,17:25,Курортный район,Столкновение,0,1,2,3,г Сестрорецк,,,А-181 Скандинавия Санкт-Петербург - Выборг - граница с Финляндской Республикой (основное направление),Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение включено",60.088323,29.965726,Жилые дома индивидуальной застройки,Движение частично перекрыто
856,07.11.2019,09:55,Курортный район,Столкновение,0,2,2,4,г Санкт-Петербург,,,Зеленогорское шоссе,Сведения отсутствуют,Ясно,Сухое,Светлое время суток,60.136868,29.98877,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
857,03.11.2019,22:10,Курортный район,Наезд на препятствие,0,2,1,2,г Сестрорецк,ул Сдт Разлив 14-я дорожка,7 21,,Сведения отсутствуют,Пасмурно,Мокрое,"В темное время суток, освещение не включено",60.050039,29.995379,Отсутствие в непосредственной близости объектов УДС и объектов притяжения,Режим движения не изменялся
858,02.11.2019,06:20,Курортный район,Столкновение,0,3,2,3,г Сестрорецк,ш Приморское,250,,Сведения отсутствуют,Пасмурно,Сухое,"В темное время суток, освещение включено",60.057446,29.976454,Регулируемый ж/д переезд с дежурным,Движение частично перекрыто
859,20.10.2019,13:50,Курортный район,Столкновение,0,1,2,2,г Зеленогорск,ш Приморское,566,,Сведения отсутствуют,Пасмурно,Мокрое,Светлое время суток,60.192651,29.68096,Остановка общественного транспорта,Движение частично перекрыто
